ns1:VSTRANA	ns1:NAZEVCELK	ns1:NAZEV_STRV	ns1:ZKRATKAV30	ns1:ZKRATKAV8	ns1:POCSTR_SLO
304	Koalice US-DEU, ODS, KDU-ČSL	Koalice US-DEU, ODS, KDU-ČSL	Koalice US-DEU, ODS, KDU-ČSL		3
305	Koalice SZ, ODA, ČSNS, KAN, CZ, N	Koalice SZ, ODA, ČSNS, KAN, CZ, N	Koalice SZ,ODA,ČSNS,KAN,CZ,N		6
306	Koalice KDU-ČSL, ODS, ČSSD	Koalice KDU-ČSL, ODS, ČSSD	Koalice KDU-ČSL, ODS, ČSSD		3
307	Koalice ODS, SZ	Koalice ODS, SZ	Koalice ODS, SZ		2
308	Váš hlas nebude podporovat plané řeči ve zbytečném Senátu, ale celý plat našich senátorů půjde na zdravotnictví obvodu	Váš hlas...plat našich senátorů půjde na zdravotn.	Váš hlas...plat na zdravotn.	Váš hlas	2
309	Koalice KDU-ČSL, Moravané	Koalice KDU-ČSL, Moravané	Koalice KDU-ČSL, Moravané		2
310	Národní koalice	Národní koalice	Národní koalice	NARKOAL	2
311	SNK sdružení nezávislých a Evropští demokraté	SNK sdružení nezávislých a Evropští demokraté	SNK sdruž.nez. a Evropští dem.	SNK-ED	2
312	Za zájmy Moravy ve sjednocené Evropě	Za zájmy Moravy ve sjednocené Evropě	Za zájmy Moravy ve sjedn.Evr.	HSMSMoDS	2
313	Unie liberálních demokratů	Unie liberálních demokratů	Unie liberálních demokratů	ULD	4
314	Unie Prahy 4	Unie Prahy 4	Unie Prahy 4	Unie-P4	3
315	ZELENÁ pro MORAVU	ZELENÁ pro MORAVU	ZELENÁ pro MORAVU	ZEL_MOR	2
316	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	NPM+SNK	2
317	Koalice pro Středočeský kraj	Koalice pro Středočeský kraj	Koalice pro Středočeský kraj	KOAL_STČ	2
318	Koalice pro Pardubický kraj	Koalice pro Pardubický kraj	Koalice pro Pardubický kraj	KOAL_PAR	2
319	NEZÁVISLÍ KANDIDÁTI+STRANA ZA ŽIVOTNÍ JISTOTY+STRANA VENKOVA+STRANA ZDRAVÉHO ROZUMU=SPOJENÉ OBČANSKÉ SÍLY	NK+ST.ZA Ž.JIST.+ST.VENK.+ST.ZDR.ROZ.=SPOJ.OB.SÍLY	NK+SŽJ+SV+SZR=SPOJ.OBČAN.SÍLY	SP.OBČ.S	3
320	Dělnická strana - akce za snížení poslaneckých platů	Dělnická strana-akce za snížení poslaneckých platů	Děl.str.-za snížení posl.platů	DS_PLATY	2
321	ZHN a SNK společně	ZHN a SNK společně	ZHN a SNK společně	ZHN+SNK	2
322	ED, VPM, SOS - Volba pro kraj	ED, VPM, SOS - Volba pro kraj	ED, VPM, SOS - Volba pro kraj	EDVPMSOS	3
323	Strana za životní jistoty - Strana občanů republiky České	Str.za životní jistoty-Str.občanů republiky České	Str.za ž.j.-Str.obč.rep.České	SŽJ+SORČ	2
324	Zelení a otevřená společnost	Zelení a otevřená společnost	Zelení a otevřená společnost	SZ+SOS+T	3
325	Koalice jižní Morava	Koalice jižní Morava	Koalice jižní Morava	JIŽ.MOR.	3
326	Morava	Morava	Morava	HSMSMoDS	2
327	Koalice Strany zelených a Strany pro otevřenou společnost	Koal. Str.zelených a Str.pro otevřenou společnost	Str.zel.a Str.pro otevř.spol.	SZ+SOS	2
328	Koalice Dělnické a Národní strany	Koalice Dělnické a Národní strany	Koal.Dělnické a Národní strany	DS+NS	2
329	Za prosperitu a jistoty východní Moravy	Za prosperitu a jistoty východní Moravy	Za prosp.a jistoty vých.Moravy	PROSP.VM	3
330	Evropští demokraté a Nezávislí starostové pro kraj	Evropští demokraté a Nezávislí starostové pro kraj	Evr.demokr.a Nez.star.pro kraj	ED+NSK	2
331	"Koalice ""Unie pro sport a zdraví - Demokratická regionální strana"""	"Koal.""Unie pro sport a zdraví-Demokr.region.str."""	Unie pro sp.a zdr.-Dem.reg.st.	USZ+DRS	2
332	Koalice za zrušení Senátu a za obnovení trestu smrti-Vaším hlasem nepodpoříte platy stran.funkcionářů,ale zdravotn.kraje	Vaším hlasem ... pro zdravotnictví našeho kraje	Váš hlas ... pro zdravotnictví	Váš hlas	2
333	Koalice rozumu a citu za pořádek v naší zemi	Koalice rozumu a citu za pořádek v naší zemi	Koal.rozumu a citu za pořádek	K_ROZCIT	3
334	Strana pro otevřenou společnost a Hnutí nezávislých za harmonický rozvoj obcí a měst	Str.pro otevř.spol. a Hn.nez.za harm.rozv.ob.a m.	Koalice SOS, HNHRM	SOSHNHRM	2
335	Strana zelených a US-DEU	Strana zelených a US-DEU	Strana zelených a US-DEU	SZ,USDEU	2
336	Koalice pro Karlovarský kraj	Koalice pro Karlovarský kraj	Koalice pro Karlovarský kraj	KOAL_KV	2
337	Vaším hlasem podpoříte financování zdravotnictví našeho kraje a nikoliv plané řeči	Vaším hlasem podpoříte zdravotnictví kraje	Vaším hlasem pro zdravotnictví	Váš hlas	2
338	Koalice pro Českou republiku	Koalice pro Českou republiku	Koalice pro Českou republiku	Koal_ČR	7
339	Koalice KDU-ČSL, Nestraníci	Koalice KDU-ČSL, Nestraníci	Koalice KDU-ČSL, Nestraníci		2
340	Koalice KDU-ČSL, STAN	Koalice KDU-ČSL, STAN	Koalice KDU-ČSL, STAN		2
341	Koalice SZ, SN	Koalice SZ, SN	Koalice SZ, SN		2
342	Volba pro lidi	Volba pro lidi	Volba pro lidi	Pro lidi	2
343	Koalice SNK ED, KDU-ČSL	Koalice SNK ED, KDU-ČSL	Koalice SNK ED, KDU-ČSL	KDUČSLED	2
344	Koalice KDU-ČSL, SNK ED, Nestraníci	Koalice KDU-ČSL, SNK ED, Nestraníci	Koalice KDU-ČSL,SNK ED,Nestran		3
345	Moravskoslezská koalice ČMUS, HSMSMNSJ a MNS	Moravskoslezská koalice ČMUS, HSMSMNSJ a MNS	Moravskosl.k.ČMUS,HSMSMNSJ,MNS	MSLK_96	3
346	Koalice KDU-ČSL, ODA, Nestraníci	Koalice KDU-ČSL, ODA, Nestraníci	Koalice KDU-ČSL, ODA, Nestran.		3
347	Koalice SNK ED, SN	Koalice SNK ED, SN	Koalice SNK ED, SN		2
348	Koalice SNK ED, COEX	Koalice SNK ED, COEX	Koalice SNK ED, COEX		2
349	Koalice KDU-ČSL, VPM	Koalice KDU-ČSL, VPM	Koalice KDU-ČSL, VPM	KDU_VPM	2
350	Koalice CZ, US-DEU, ODA	Koalice CZ, US-DEU, ODA	Koalice CZ, US-DEU, ODA		3
351	Sdružení KDU-ČSL, ČSNS, NK	Sdružení KDU-ČSL, ČSNS, NK	Sdružení KDU-ČSL, ČSNS, NK		3
352	Sdružení KDU-ČSL, KSČM, NK	Sdružení KDU-ČSL, KSČM, NK	Sdružení KDU-ČSL, KSČM, NK		3
353	Sdružení KDU-ČSL, ODS, NK	Sdružení KDU-ČSL, ODS, NK	Sdružení KDU-ČSL, ODS, NK		3
354	Sdružení KDU-ČSL, ODS, US, NK	Sdružení KDU-ČSL, ODS, US, NK	Sdružení KDU-ČSL, ODS, US, NK		4
355	Sdružení KDU-ČSL, NK	Sdružení KDU-ČSL, NK	Sdružení KDU-ČSL, NK		2
356	Sdružení KDU-ČSL, DEU, NK	Sdružení KDU-ČSL, DEU, NK	Sdružení KDU-ČSL, DEU, NK		3
357	Sdružení KDU-ČSL, US, NK	Sdružení KDU-ČSL, US, NK	Sdružení KDU-ČSL, US, NK		3
358	Sdružení KDU-ČSL, SKS, NK	Sdružení KDU-ČSL, SKS, NK	Sdružení KDU-ČSL, SKS, NK		3
359	Sdružení ČSNS, SZ, KAN, D92, MDS, NEZ, PB, OK, NK	Sdružení ČSNS, SZ, KAN, D92, MDS, NEZ, PB, OK, NK	ČSNS,SZ,KAN,D92,MDS,NEZ,PB,OK,		9
360	Sdružení ČSNS, ODA, NK	Sdružení ČSNS, ODA, NK	Sdružení ČSNS, ODA, NK		3
361	Sdružení ČSNS, NK	Sdružení ČSNS, NK	Sdružení ČSNS, NK		2
362	Sdružení SZ, SŽJ, NK	Sdružení SZ, SŽJ, NK	Sdružení SZ, SŽJ, NK		3
363	Sdružení SZ, ODS, NK	Sdružení SZ, ODS, NK	Sdružení SZ, ODS, NK		3
364	Sdružení SZ, NK	Sdružení SZ, NK	Sdružení SZ, NK		2
365	Sdružení SZ, DEU, NK	Sdružení SZ, DEU, NK	Sdružení SZ, DEU, NK		3
366	Sdružení SZ, MoDS, NK	Sdružení SZ, MoDS, NK	Sdružení SZ, MoDS, NK		3
367	Sdružení SZ, SOS, NK	Sdružení SZ, SOS, NK	Sdružení SZ, SOS, NK		3
368	Sdružení ČSSD, SPR-RSČ, HSMSMNSJ, NK	Sdružení ČSSD, SPR-RSČ, HSMSMNSJ, NK	Sdruž.ČSSD,SPR-RSČ,HSMSMNSJ,NK		4
369	Sdružení ČSSD, SŽJ, NK	Sdružení ČSSD, SŽJ, NK	Sdružení ČSSD, SŽJ, NK		3
370	Sdružení ČSSD, SDS, NK	Sdružení ČSSD, SDS, NK	Sdružení ČSSD, SDS, NK		3
371	Sdružení ČSSD, NK	Sdružení ČSSD, NK	Sdružení ČSSD, NK		2
372	Sdružení SPR-RSČ, NK	Sdružení SPR-RSČ, NK	Sdružení SPR-RSČ, NK		2
373	Sdružení ODA, ODS, NK	Sdružení ODA, ODS, NK	Sdružení ODA, ODS, NK		3
374	Sdružení ODA, NK	Sdružení ODA, NK	Sdružení ODA, NK		2
375	Sdružení ODA, DEU, NK	Sdružení ODA, DEU, NK	Sdružení ODA, DEU, NK		3
376	Sdružení ODA, US, NK	Sdružení ODA, US, NK	Sdružení ODA, US, NK		3
377	Sdružení ODA, VPM, NK	Sdružení ODA, VPM, NK	Sdružení ODA, VPM, NK		3
378	Sdružení SŽJ, SDS, NK	Sdružení SŽJ, SDS, NK	Sdružení SŽJ, SDS, NK		3
379	Sdružení SŽJ, NK	Sdružení SŽJ, NK	Sdružení SŽJ, NK		2
380	Sdružení SŽJ, SOS, NK	Sdružení SŽJ, SOS, NK	Sdružení SŽJ, SOS, NK		3
381	Sdružení CAO, NK	Sdružení CAO, NK	Sdružení CAO, NK		2
382	Sdružení KAN, NK	Sdružení KAN, NK	Sdružení KAN, NK		2
383	Sdružení KAN, DEU, NK	Sdružení KAN, DEU, NK	Sdružení KAN, DEU, NK		3
384	Sdružení PA, NK	Sdružení PA, NK	Sdružení PA, NK		2
385	Sdružení KSČM, SDS, NK	Sdružení KSČM, SDS, NK	Sdružení KSČM, SDS, NK		3
386	Sdružení KSČM, SDS, SV, NK	Sdružení KSČM, SDS, SV, NK	Sdružení KSČM, SDS, SV, NK		4
387	Sdružení KSČM, NK	Sdružení KSČM, NK	Sdružení KSČM, NK		2
388	Sdružení KSČM, HSMSMNSJ, NK	Sdružení KSČM, HSMSMNSJ, NK	Sdružení KSČM, HSMSMNSJ, NK		3
389	Sdružení ODS, NK	Sdružení ODS, NK	Sdružení ODS, NK		2
390	Sdružení ODS, US, NK	Sdružení ODS, US, NK	Sdružení ODS, US, NK		3
391	Sdružení MDS, NK	Sdružení MDS, NK	Sdružení MDS, NK		2
392	Sdružení COEX, NK	Sdružení COEX, NK	Sdružení COEX, NK		2
393	Sdružení SDS, NK	Sdružení SDS, NK	Sdružení SDS, NK		2
394	Sdružení ČP, NK	Sdružení ČP, NK	Sdružení ČP, NK		2
395	Sdružení SDČR, NK	Sdružení SDČR, NK	Sdružení SDČR, NK		2
396	Sdružení DEU, NK	Sdružení DEU, NK	Sdružení DEU, NK		2
397	Sdružení DEU, US, NK	Sdružení DEU, US, NK	Sdružení DEU, US, NK		3
398	Sdružení MoDS, NK	Sdružení MoDS, NK	Sdružení MoDS, NK		2
399	Sdružení MoDS, HSMSMNSJ, NK	Sdružení MoDS, HSMSMNSJ, NK	Sdružení MoDS, HSMSMNSJ, NK		3
400	Sdružení Moravané, NK	Sdružení Moravané, NK	Sdružení Moravané, NK		2
401	Sdružení NEZ, NK	Sdružení NEZ, NK	Sdružení NEZ, NK		2
402	Sdružení ŽS, NK	Sdružení ŽS, NK	Sdružení ŽS, NK		2
403	Sdružení SČK, NK	Sdružení SČK, NK	Sdružení SČK, NK		2
404	Sdružení SV SOS, NK	Sdružení SV SOS, NK	Sdružení SV SOS, NK		2
405	Sdružení US, NK	Sdružení US, NK	Sdružení US, NK		2
406	Sdružení US, VPM, NK	Sdružení US, VPM, NK	Sdružení US, VPM, NK		3
407	Sdružení SOS, NK	Sdružení SOS, NK	Sdružení SOS, NK		2
408	Sdružení OK, NK	Sdružení OK, NK	Sdružení OK, NK		2
409	Sdružení SKS, NK	Sdružení SKS, NK	Sdružení SKS, NK		2
410	Sdružení DRS, NK	Sdružení DRS, NK	Sdružení DRS, NK		2
411	Sdružení VPM, NK	Sdružení VPM, NK	Sdružení VPM, NK		2
412	Sdružení SOS, SNK, NK	Sdružení SOS, SNK, NK	Sdružení SOS, SNK, NK		3
413	Sdružení US-DEU, NK	Sdružení US-DEU, NK	Sdružení US-DEU, NK		2
414	Sdružení ODA, US-DEU, NK	Sdružení ODA, US-DEU, NK	Sdružení ODA, US-DEU, NK		3
415	Sdružení KONS, NK	Sdružení KONS, NK	Sdružení KONS, NK		2
417	Sdružení N, NK	Sdružení N, NK	Sdružení N, NK		2
418	Sdružení RMS, NK	Sdružení RMS, NK	Sdružení RMS, NK		2
419	Sdružení SNK ED, NK	Sdružení SNK ED, NK	Sdružení SNK ED, NK		2
421	Sdružení NSJ, NK	Sdružení NSJ, NK	Sdružení NSJ, NK		2
422	Sdružení SZ, MoDS, HSMS, SŽJ, NK	Sdružení SZ, MoDS, HSMS, SŽJ, NK	Sdružení SZ,MoDS,HSMS,SŽJ,NK		5
423	Sdružení SOS, ČSNS, MDS, NK	Sdružení SOS, ČSNS, MDS, NK	Sdružení SOS, ČSNS, MDS, NK		4
424	Sdružení KDU-ČSL, ČSSD, NK	Sdružení KDU-ČSL, ČSSD, NK	Sdružení KDU-ČSL, ČSSD, NK		3
425	Sdružení HSMS, VPM, NK	Sdružení HSMS, VPM, NK	Sdružení HSMS, VPM, NK		3
426	Sdružení DL, NK	Sdružení DL, NK	Sdružení DL, NK		2
427	Sdružení SD-SN, NK	Sdružení SD-SN, NK	Sdružení SD-SN, NK		2
428	Sdružení CZ, NK	Sdružení CZ, NK	Sdružení CZ, NK		2
429	Sdružení ČSSD, US-DEU, NK	Sdružení ČSSD, US-DEU, NK	Sdružení ČSSD, US-DEU, NK		3
430	Sdružení RMS, SDČR, NK	Sdružení RMS, SDČR, NK	Sdružení RMS, SDČR, NK		3
431	Sdružení ANEO, NK	Sdružení ANEO, NK	Sdružení ANEO, NK		2
432	Sdružení MoDS, HSMS, NK	Sdružení MoDS, HSMS, NK	Sdružení MoDS, HSMS, NK		3
433	Sdružení US-DEU, ODA, ČSNS, NK	Sdružení US-DEU, ODA, ČSNS, NK	Sdružení US-DEU, ODA, ČSNS, NK		4
434	Sdružení ODA, SZ, NK	Sdružení ODA, SZ, NK	Sdružení ODA, SZ, NK		3
435	Sdružení US-DEU, KONS, NK	Sdružení US-DEU, KONS, NK	Sdružení US-DEU, KONS, NK		3
436	Sdružení ED, ODA, CZ, NK	Sdružení ED, ODA, CZ, NK	Sdružení ED, ODA, CZ, NK		4
437	Sdružení KDU-ČSL, ODA, US-DEU, NK	Sdružení KDU-ČSL, ODA, US-DEU, NK	Sdružení KDU-ČSL,ODA,US-DEU,NK		4
438	Sdružení MoDS, SŽJ, NK	Sdružení MoDS, SŽJ, NK	Sdružení MoDS, SŽJ, NK		3
439	Sdružení US-DEU, ČSNS, NK	Sdružení US-DEU, ČSNS, NK	Sdružení US-DEU, ČSNS, NK		3
440	Sdružení ED, SZ, NK	Sdružení ED, SZ, NK	Sdružení ED, SZ, NK		3
441	Sdružení ED, ODA, NK	Sdružení ED, ODA, NK	Sdružení ED, ODA, NK		3
442	Sdružení SZ, ČSNS, SV SOS, NK	Sdružení SZ, ČSNS, SV SOS, NK	Sdružení SZ, ČSNS, SV SOS, NK		4
443	Sdružení NPM, NK	Sdružení NPM, NK	Sdružení NPM, NK		2
444	Sdružení SDS, SV SOS, NK	Sdružení SDS, SV SOS, NK	Sdružení SDS, SV SOS, NK		3
445	Sdružení SZ, SOS, SNK, NK	Sdružení SZ, SOS, SNK, NK	Sdružení SZ, SOS, SNK, NK		4
446	Sdružení ODS, US-DEU, NK	Sdružení ODS, US-DEU, NK	Sdružení ODS, US-DEU, NK		3
447	Sdružení Moravané, NK	Sdružení Moravané, NK	Sdružení Moravané, NK		2
448	Sdružení H.S., NK	Sdružení H.S., NK	Sdružení H.S., NK		2
449	Sdružení SNK ED, NK	Sdružení SNK ED, NK	Sdružení SNK ED, NK		2
450	"Sdružení ""LiRA"", NK"	"Sdružení ""LiRA"", NK"	"Sdružení ""LiRA"", NK"		2
451	Sdružení SvOS, NK	Sdružení SvOS, NK	Sdružení SvOS, NK		2
452	Sdružení SDŽP, NK	Sdružení SDŽP, NK	Sdružení SDŽP, NK		2
453	Sdružení ČSNS2005, NK	Sdružení ČSNS2005, NK	Sdružení ČSNS2005, NK		2
454	Sdružení NEZ/DEM, NK	Sdružení NEZ/DEM, NK	Sdružení NEZ/DEM, NK		2
455	Sdružení SOS, KDU-ČSL, CZ, US-DEU, VPM, SZR, NK	Sdružení SOS, KDU-ČSL, CZ, US-DEU, VPM, SZR, NK	SOS,KDU,CZ,US-DEU,VPM,SZR,NK		7
456	Sdružení HNHRM, NK	Sdružení HNHRM, NK	Sdružení HNHRM, NK		2
457	Sdružení Nestraníci, NK	Sdružení Nestraníci, NK	Sdružení Nestraníci, NK		2
458	Sdružení SZ, SN, NK	Sdružení SZ, SN, NK	Sdružení SZ, SN, NK		3
459	Sdružení SZ, US-DEU, NK	Sdružení SZ, US-DEU, NK	Sdružení SZ, US-DEU, NK		3
460	Sdružení KDU-ČSL, US-DEU, NK	Sdružení KDU-ČSL, US-DEU, NK	Sdružení KDU-ČSL, US-DEU, NK		3
461	Sdružení NV, NK	Sdružení NV, NK	Sdružení NV, NK		2
462	Sdružení SNK ED, SD-SN, SOS, SZ, US-DEU, NK	Sdružení SNK ED, SD-SN, SOS, SZ, US-DEU, NK	SNK ED,SD-SN,SOS,SZ,US-DEU,NK		6
463	Sdružení SN, NK	Sdružení SN, NK	Sdružení SN, NK		2
464	Sdružení Moravané, NK	Sdružení Moravané, NK	Sdružení Moravané, NK		2
465	Sdružení DEUČR, NK	Sdružení DEUČR, NK	Sdružení DEUČR, NK		2
466	Sdružení SNK ED, SZ, NK	Sdružení SNK ED, SZ, NK	Sdružení SNK ED, SZ, NK		3
467	Sdružení SZ, NEZ, NK	Sdružení SZ, NEZ, NK	Sdružení SZ, NEZ, NK		3
468	Sdružení MDS, ČSNS2005, SOS, NK	Sdružení MDS, ČSNS2005, SOS, NK	Sdružení MDS,ČSNS2005,SOS,NK		4
469	Sdružení US-DEU, SNK ED, NK	Sdružení US-DEU, SNK ED, NK	Sdružení US-DEU, SNK ED, NK		3
470	Sdružení STAN, NK	Sdružení STAN, NK	Sdružení STAN, NK		2
471	Sdružení ZHN, NK	Sdružení ZHN, NK	Sdružení ZHN, NK		2
472	Sdružení US-DEU, SOS, NK	Sdružení US-DEU, SOS, NK	Sdružení US-DEU, SOS, NK		3
473	Sdružení KDU-ČSL, ČSSD, US-DEU, NK	Sdružení KDU-ČSL, ČSSD, US-DEU, NK	Sdruž.KDU-ČSL,ČSSD,US-DEU,NK		4
474	Sdružení ČSSD, KSČM, NK	Sdružení ČSSD, KSČM, NK	Sdružení ČSSD, KSČM, NK		3
475	Sdružení SLK, NK	Sdružení SLK, NK	Sdružení SLK, NK		2
476	Sdružení ALTERNATIVA, NK	Sdružení ALTERNATIVA, NK	Sdružení ALTERNATIVA, NK		2
477	Sdružení Svobodní, NK	Sdružení Svobodní, NK	Sdružení Svobodní, NK		2
478	Sdružení Nový Impuls, NK	Sdružení Nový Impuls, NK	Sdružení Nový Impuls, NK		2
479	Sdružení KDU-ČSL, SZ, NK	Sdružení KDU-ČSL, SZ, NK	Sdružení KDU-ČSL, SZ, NK		3
480	Sdružení TOP 09, NK	Sdružení TOP 09, NK	Sdružení TOP 09, NK		2
481	Sdružení Klíčové hnutí, NK	Sdružení Klíčové hnutí, NK	Sdružení KH, NK		2
482	Sdružení DSZ, NK	Sdružení DSZ, NK	Sdružení DSZ, NK		2
483	Sdružení SPO, NK	Sdružení SPO, NK	Sdružení SPO, NK		2
484	Sdružení SZ, VV, NK	Sdružení SZ, VV, NK	Sdružení SZ, VV, NK		3
485	Sdružení SZ, ALTERNATIVA, Klíčové hnutí, Zelení, NK	Sdruž.SZ, ALTERNATIVA, Klíčové hnutí, Zelení, NK	Sdružení SZ, ALTER, KH, Z, NK		5
486	Sdružení KDU-ČSL, SNK ED, NK	Sdružení KDU-ČSL, SNK ED, NK	Sdružení KDU-ČSL, SNK ED, NK		3
487	Sdružení SZ, US-DEU, STAN, TOP 09, NK	Sdružení SZ, US-DEU, STAN, TOP 09, NK	Sdr.SZ,US-DEU,STAN,TOP 09,NK		5
488	Sdružení Věci veřejné, NK	Sdružení Věci veřejné, NK	Sdružení VV, NK		2
489	Sdružení Strana Práv Občanů ZEMANOVCI, Strana zelených, NK	Sdruž.Str.Práv Občanů ZEMANOVCI, Str.zelených, NK	Sdružení SPOZ, SZ, NK		3
490	Sdružení ALTER., KČ, SOS, SNK ED, US-DEU, NK	Sdružení ALTER., KČ, SOS, SNK ED, US-DEU, NK	ALTER.,KČ,SOS,SNK ED,US-DEU,NK		6
491	Sdružení Věci veřejné, SNK Evropští demokraté, NK	Sdružení Věci veřejné, SNK Evropští demokraté, NK	Sdružení VV, SNK ED, NK		3
492	Sdružení Severočeši.cz, NK	Sdružení Severočeši, NK	Sdružení Severočeši, NK		2
493	Sdružení Rozumní, NK	Sdružení Rozumní, NK	Sdružení Rozumní, NK		2
494	Sdružení KDU-ČSL, US-DEU, SNK ED, NK	Sdružení KDU-ČSL, US-DEU, SNK ED, NK	Sdruž.KDU-ČSL,US-DEU,SNK ED,NK		4
495	Sdružení TOP 09, STAN, NK	Sdružení TOP 09, STAN, NK	Sdružení TOP 09, STAN, NK		3
496	"Sdružení ""HOPB"", STAN, NK"	"Sdružení ""HOPB"", STAN, NK"	"Sdružení ""HOPB"", STAN, NK"		3
497	Sdružení SsČR, NK	Sdružení SsČR, NK	Sdružení SsČR, NK		2
498	Sdružení SNK ED, SsČR, TOP 09, NK	Sdružení SNK ED, SsČR, TOP 09, NK	Sdružení SNK ED,SsČR,TOP 09,NK		4
499	Sdružení SLK, KDU-ČSL, NK	Sdružení SLK, KDU-ČSL, NK	Sdružení SLK, KDU-ČSL, NK		3
500	Sdružení KSČM, FiS, NK	Sdružení KSČM, FiS, NK	Sdružení KSČM, FiS, NK		3
501	Sdružení TOP 09, SZ, NK	Sdružení TOP 09, SZ, NK	Sdružení TOP 09, SZ, NK		3
502	Sdružení US-DEU, TOP 09, NK	Sdružení US-DEU, TOP 09, NK	Sdružení US-DEU, TOP 09, NK		3
503	Sdružení S.cz, STAN, NK	Sdružení S.cz, STAN, NK	Sdružení S.cz, STAN, NK		3
504	Sdružení FiS, NK	Sdružení FiS, NK	Sdružení FiS, NK		2
505	Sdružení KDU-ČSL, Nestran., NK	Sdružení KDU-ČSL, Nestran., NK	Sdružení KDU-ČSL,Nestran.,NK		3
506	Sdružení PVP, NK	Sdružení PVP, NK	Sdružení PVP, NK		2
507	Sdružení VV, VPM, NK	Sdružení VV, VPM, NK	Sdružení VV, VPM, NK		3
508	Sdružení Republika, NK	Sdružení Republika, NK	Sdružení Republika, NK		2
509	Sdružení DOMOV, NK	Sdružení DOMOV, NK	Sdružení DOMOV, NK		2
510	Sdružení Změna, NK	Sdružení Změna, NK	Sdružení Změna, NK		2
511	Sdružení ZVUK 12, NK	Sdružení ZVUK 12, NK	Sdružení ZVUK 12, NK		2
512	Sdružení O.K. strana, NK	Sdružení O.K. strana, NK	Sdružení O.K. strana, NK		2
513	Sdružení TOP 09, SLK, NK	Sdružení TOP 09, SLK, NK	Sdružení TOP 09, SLK, NK		3
514	Sdružení ČS, NK	Sdružení ČS, NK	Sdružení ČS, NK		2
515	Sdružení VČ, NK	Sdružení VČ, NK	Sdružení VČ, NK		2
516	Sdružení HNPD, NK	Sdružení HNPD, NK	Sdružení HNPD, NK		2
517	Sdružení SNOP13, NK	Sdružení SNOP13, NK	Sdružení SNOP13, NK		2
518	Sdružení B10.cz, NK	Sdružení B10.cz, NK	Sdružení B10.cz, NK		2
519	Sdružení OPAT, NK	Sdružení OPAT, NK	Sdružení OPAT, NK		2
520	Sdružení Ú, NK	Sdružení Ú, NK	Sdružení Ú, NK		2
521	Sdružení SZ, Změna, NK	Sdružení SZ, Změna, NK	Sdružení SZ, Změna, NK		3
522	Sdružení PATRIOTI, NK	Sdružení PATRIOTI, NK	Sdružení PATRIOTI, NK		2
523	Sdružení ODS, TOP 09, NK	Sdružení ODS, TOP 09, NK	Sdružení ODS, TOP 09, NK		3
524	Sdružení VPP, NK	Sdružení VPP, NK	Sdružení VPP, NK		2
525	Sdružení Hora 2014, NK	Sdružení Hora 2014, NK	Sdružení Hora 2014, NK		2
526	Sdružení Občané, Piráti, NK	Sdružení Občané, Piráti, NK	Sdružení Občané, Piráti, NK		3
527	Sdružení STO, NK	Sdružení STO, NK	Sdružení STO, NK		2
528	Sdružení SZ, Moravané, NK	Sdružení SZ, Moravané, NK	Sdružení SZ, Moravané, NK		3
529	Sdružení SZ, Piráti, NK	Sdružení SZ, Piráti, NK	Sdružení SZ, Piráti, NK		3
530	Sdružení NOS, NK	Sdružení NOS, NK	Sdružení NOS, NK		2
531	Sdružení AO, NK	Sdružení AO, NK	Sdružení AO, NK		2
532	Sdružení ANO 2011, NK	Sdružení ANO 2011, NK	Sdružení ANO 2011, NK		2
533	Sdružení KSČM, SPO, NK	Sdružení KSČM, SPO, NK	Sdružení KSČM, SPO, NK		3
534	Sdružení SZ, VPM, STAN, NK	Sdružení SZ, VPM, STAN, NK	Sdružení SZ, VPM, STAN, NK		4
535	Sdružení KDU-ČSL, Piráti, LES, NK	Sdružení KDU-ČSL, Piráti, LES, NK	Sdružení KDU-ČSL,Piráti,LES,NK		4
536	Sdružení NS, NK	Sdružení NS, NK	Sdružení NS, NK		2
537	Sdružení FairPlay, NK	Sdružení FairPlay, NK	Sdružení FairPlay, NK		2
538	Sdružení ČSR, NK	Sdružení ČSR, NK	Sdružení ČSR, NK		2
539	Sdružení SZ, Moravané, Změna, NK	Sdružení SZ, Moravané, Změna, NK	Sdružení SZ,Moravané,Změna,NK		4
540	Sdružení KDU-ČSL, TOP 09, NK	Sdružení KDU-ČSL, TOP 09, NK	Sdružení KDU-ČSL, TOP 09, NK		3
541	Sdružení Piráti, NK	Sdružení Piráti, NK	Sdružení Piráti, NK		2
542	Sdružení Svobodní, PATRIOTI, NK	Sdružení Svobodní, PATRIOTI, NK	Sdružení Svobodní,PATRIOTI,NK		3
543	Sdružení LES, NK	Sdružení LES, NK	Sdružení LES, NK		2
544	Sdružení HDK, NK	Sdružení HDK, NK	Sdružení HDK, NK		2
545	Sdružení KPP, NK	Sdružení KPP, NK	Sdružení KPP, NK		2
546	Sdružení LEV 21, NK	Sdružení LEV 21, NK	Sdružení LEV 21, NK		2
547	Sdružení VZPk, NK	Sdružení VZPk, NK	Sdružení VZPk, NK		2
548	Sdružení VIZE, NK	Sdružení VIZE, NK	Sdružení VIZE, NK		2
549	Sdružení Občané, NK	Sdružení Občané, NK	Sdružení Občané, NK		2
550	Sdružení NBPLK, NK	Sdružení NBPLK, NK	Sdružení NBPLK, NK		2
